batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,playerID,playerIDLastChangedAt
01HC8TG2ZB0YJEM2KER9QKP6YP,2023-10-09T00:25:50.718207-04:00,01HC8V20TCQGSCZEVBJJ98TEXG,2023-10-09T00:25:50.718207-04:00,01HC9AY9GAF23X12F0ME0ZW2ZS,2023-10-09T00:25:50.718207-04:00,01HC9AY9KDH3XY7WN0G8SSNB62,2023-10-09T00:25:50.718207-04:00,01HC8V8RPB9NDGJTXMHD8EXKQN,2023-10-09T00:25:50.718207-04:00
01HC8TG2ZB0YJEM2KER9QKP6YP,2023-10-09T00:25:50.722552-04:00,01HC8V20TCQGSCZEVBJJ98TEXG,2023-10-09T00:25:50.722552-04:00,01HC9AY9GAF23X12F0ME0ZW2ZS,2023-10-09T00:25:50.722552-04:00,01HC9AY9KDH3XY7WN0G8SSNB62,2023-10-09T00:25:50.722552-04:00,01HC8V99R8JC8DFE3HVW9H7T62,2023-10-09T00:25:50.722552-04:00
