treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt,urlParams,urlParamsLastChangedAt,introDone,introDoneLastChangedAt,gameID,gameIDLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,traitA,traitALastChangedAt,ended,endedLastChangedAt,participantID,participantIDLastChangedAt
"{""numRounds"":10,""playerCount"":2}",2023-10-08T19:51:56.370735-04:00,Two Players - Long,2023-10-08T19:51:56.370735-04:00,{},2023-10-08T19:51:56.381227-04:00,true,2023-10-09T00:22:56.776653-04:00,01HC8V20TCQGSCZEVBJJ98TEXG,2023-10-08T19:51:56.370735-04:00,raja,2023-10-08T19:51:56.363878-04:00,0.6,2023-10-09T00:22:16.522131-04:00,game terminated,2023-10-09T00:26:14.541743-04:00,01HC8V8RNXK4ETTC49P07DDWVA,2023-10-08T19:51:56.363878-04:00
"{""numRounds"":10,""playerCount"":2}",2023-10-08T19:52:13.835983-04:00,Two Players - Long,2023-10-08T19:52:13.835983-04:00,"{""participantKey"":""1696809130186""}",2023-10-08T19:52:13.845175-04:00,true,2023-10-09T00:25:50.218388-04:00,01HC8V20TCQGSCZEVBJJ98TEXG,2023-10-08T19:52:13.835983-04:00,moreno,2023-10-08T19:52:13.832621-04:00,0.5,2023-10-09T00:25:44.530535-04:00,game terminated,2023-10-09T00:26:14.541743-04:00,01HC8V99QVZ3VC7FDQ2MRCFJWC,2023-10-08T19:52:13.832621-04:00
