id,batchID,batchIDLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,stageID,stageIDLastChangedAt,submit,submitLastChangedAt
01J034EEX813XA9ZH9QJKBRH1A,01J034CP90TB56WTGER8TYD7P3,2024-06-11T00:50:50.024664-07:00,01J034CP9MSWKZZSQWNNWP59YX,2024-06-11T00:50:50.024664-07:00,01J034D02EGS8X9QF338G3XEPB,2024-06-11T00:50:50.024664-07:00,01J034EEVW3AZHGEARR6GBEWTM,2024-06-11T00:50:50.024664-07:00,01J034EEW933TK6Z3EG9N9XS9Q,2024-06-11T00:50:50.024664-07:00,true,2024-06-11T00:51:09.784543-07:00
01J034F4ZFKRC31F9D9X7VMKB7,01J034CP90TB56WTGER8TYD7P3,2024-06-11T00:51:12.623934-07:00,01J034CP9MSWKZZSQWNNWP59YX,2024-06-11T00:51:12.623934-07:00,01J034EBGFG83X7B2AD8EXSVGH,2024-06-11T00:51:12.623934-07:00,01J034EEVW3AZHGEARR6GBEWTM,2024-06-11T00:51:12.623934-07:00,01J034EEW933TK6Z3EGWB6SYSE,2024-06-11T00:51:12.623934-07:00,true,2024-06-11T00:51:23.774381-07:00
01J034F4ZG5NDJENJBYW4274H0,01J034CP90TB56WTGER8TYD7P3,2024-06-11T00:51:12.624071-07:00,01J034CP9MSWKZZSQWNNWP59YX,2024-06-11T00:51:12.624071-07:00,01J034D02EGS8X9QF338G3XEPB,2024-06-11T00:51:12.624071-07:00,01J034EEVW3AZHGEARR6GBEWTM,2024-06-11T00:51:12.624071-07:00,01J034EEW933TK6Z3EGWB6SYSE,2024-06-11T00:51:12.624071-07:00,true,2024-06-11T00:51:28.909711-07:00
01J034EEX813XA9ZH9Q8GF3SFE,01J034CP90TB56WTGER8TYD7P3,2024-06-11T00:50:50.024571-07:00,01J034CP9MSWKZZSQWNNWP59YX,2024-06-11T00:50:50.024571-07:00,01J034EBGFG83X7B2AD8EXSVGH,2024-06-11T00:50:50.024571-07:00,01J034EEVW3AZHGEARR6GBEWTM,2024-06-11T00:50:50.024571-07:00,01J034EEW933TK6Z3EG9N9XS9Q,2024-06-11T00:50:50.024571-07:00,true,2024-06-11T00:51:12.595163-07:00
