id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01J034EEW933TK6Z3EG9N9XS9Q,01J034CP90TB56WTGER8TYD7P3,2024-06-11T00:50:49.993646-07:00,60,2024-06-11T00:50:49.993646-07:00,true,2024-06-11T00:51:12.604861-07:00,01J034CP9MSWKZZSQWNNWP59YX,2024-06-11T00:50:49.993646-07:00,0,2024-06-11T00:50:49.993646-07:00,true,2024-06-11T00:50:50.026261-07:00,choice,2024-06-11T00:50:49.993646-07:00,01J034EEVW3AZHGEARR6GBEWTM,2024-06-11T00:50:49.993646-07:00,true,2024-06-11T00:50:50.021532-07:00,true,2024-06-11T00:50:50.02955-07:00,01J034EEW2GSWCJ2EEZMRQCFKC,2024-06-11T00:50:49.993646-07:00
01J034EEW933TK6Z3EGWB6SYSE,01J034CP90TB56WTGER8TYD7P3,2024-06-11T00:50:49.993764-07:00,60,2024-06-11T00:50:49.993764-07:00,true,2024-06-11T00:51:28.917863-07:00,01J034CP9MSWKZZSQWNNWP59YX,2024-06-11T00:50:49.993764-07:00,1,2024-06-11T00:50:49.993764-07:00,true,2024-06-11T00:51:12.626579-07:00,result,2024-06-11T00:50:49.993764-07:00,01J034EEVW3AZHGEARR6GBEWTM,2024-06-11T00:50:49.993764-07:00,true,2024-06-11T00:51:12.616782-07:00,true,2024-06-11T00:51:12.632668-07:00,01J034EEW6AQQ01JZFRMZB7PT2,2024-06-11T00:50:49.993764-07:00
